			Symbol				Name				Sector				industry	
{	Symbol	":"""	KRO	"""xqxq"	Name	":"""	Kronos Worldwide Inc	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	LXU	"""xqxq"	Name	":"""	Lsb Industries Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	LXFR	"""xqxq"	Name	":"""	Luxfer Holdings PLC	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	LYB	"""xqxq"	Name	":"""	LyondellBasell Industries NV	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	MTX	"""xqxq"	Name	":"""	Minerals Technologies Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	NEU	"""xqxq"	Name	":"""	NewMarket Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	NL	"""xqxq"	Name	":"""	"NL Industries, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	OLN	"""xqxq"	Name	":"""	Olin Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	PDH	"""xqxq"	Name	":"""	PetroLogistics LP	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	POL	"""xqxq"	Name	":"""	PolyOne Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	PPO	"""xqxq"	Name	":"""	Polypore International Inc	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	PX	"""xqxq"	Name	":"""	"Praxair, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	KWR	"""xqxq"	Name	":"""	Quaker Chemical Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	REX	"""xqxq"	Name	":"""	REX American Resources Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	ROC	"""xqxq"	Name	":"""	"Rockwood Holdings, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	ROG	"""xqxq"	Name	":"""	Rogers Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	SXT	"""xqxq"	Name	":"""	Sensient Technologies Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	SHI	"""xqxq"	Name	":"""	"SINOPEC Shangai Petrochemical Company, Ltd."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	TROX	"""xqxq"	Name	":"""	Tronox Limited	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	VHI	"""xqxq"	Name	":"""	"Valhi, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	GRA	"""xqxq"	Name	":"""	W.R. Grace & Co.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	WLK	"""xqxq"	Name	":"""	Westlake Chemical Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	ERS	"""xqxq"	Name	":"""	"Empire Resources, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	FSTR	"""xqxq"	Name	":"""	L.B. Foster Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	ZEUS	"""xqxq"	Name	":"""	"Olympic Steel, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	MEA	"""xqxq"	Name	":"""	Metalico Inc	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	CAS	"""xqxq"	Name	":"""	Castle (A.M.) & Co.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	EDG	"""xqxq"	Name	":"""	Edgen Group Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	NPO	"""xqxq"	Name	":"""	Enpro Industries	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	KUB	"""xqxq"	Name	":"""	Kubota Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	MUSA	"""xqxq"	Name	":"""	Metals USA Holdings Corp.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	OMG	"""xqxq"	Name	":"""	"OM Group, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	PCP	"""xqxq"	Name	":"""	Precision Castparts Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
{	Symbol	":"""	RS	"""xqxq"	Name	":"""	Reliance Steel & Aluminum Co.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Metal Fabrications	}xqxq
